,hedera,elrond,terra,hnt,decentraland,binance,wrapped,vechain,litecoin,bitcoin,tron,solana,avalanche,crypto_choice_avg,inflation_headlinese_avg,energy_consumption_avg
hedera,1.0,-0.14082610316197847,0.031453625746283735,0.48210088739439927,0.028485324609256613,0.049642476701256114,-0.11287061243225645,0.44042433622332733,-0.0719060800899264,0.11277904493216162,-0.41974012025218616,0.19843488124037437,-0.015210625602305483,-0.13605261191311202,-0.2992636920422709,-0.12601346744950612
elrond,-0.14082610316197847,1.0,0.06302315675273426,-0.06659608856830566,-0.04942038112526704,-0.335228800238019,-0.09597517841774562,-0.2550391628801041,-0.11875767619784627,-0.19154286996477118,-0.20316406633171216,0.04835851993135732,-0.19400654535780648,0.02554322841513651,0.18749919567360462,-0.18617088144144003
terra,0.031453625746283735,0.06302315675273426,1.0,-0.031020019956798314,0.2943596697933425,0.22633672027082563,-0.07252080648951438,-0.21550730569149742,-0.04024750220914176,0.30375148522513534,0.03489119005082316,-0.037606808214622776,-0.010913885575773689,-0.4588933244036742,0.07420028279020836,0.24802551901698028
hnt,0.48210088739439927,-0.06659608856830566,-0.031020019956798314,1.0,-0.09673772998547964,0.09630644269470671,-0.053376051268362375,0.18086618613810698,-0.1381416211637233,-0.021842764247854005,-0.1984933872084368,0.1589209620357278,0.2861580020685077,0.15859503168021016,-0.184242417009632,-0.13941224350370973
decentraland,0.028485324609256613,-0.04942038112526704,0.2943596697933425,-0.09673772998547964,1.0,0.46215345921412887,-0.13941390695282885,-0.15381483152469402,-0.11691034754007276,-0.2563727234431666,0.11811178949496708,-0.2342072560281775,-0.12508444659277046,-0.19119399662456932,-0.011077321505348979,-0.2687684419092182
binance,0.049642476701256114,-0.335228800238019,0.22633672027082563,0.09630644269470671,0.46215345921412887,1.0,-0.12028670837226263,0.2156774501750172,-0.09904735126361441,-0.08354524031655729,0.09146362643639079,-0.3308931689923513,-0.08200932661521149,-0.08291637247763183,0.0555851213375308,0.26835660671083483
wrapped,-0.11287061243225645,-0.09597517841774562,-0.07252080648951438,-0.053376051268362375,-0.13941390695282885,-0.12028670837226263,1.0,0.2253412437245623,-0.19908326484529887,0.16132871478752234,0.09535313890861585,-0.06543699493296709,0.412397573110042,-0.07239819763877704,-0.13723472937400277,0.025486113960968507
vechain,0.44042433622332733,-0.2550391628801041,-0.21550730569149742,0.18086618613810698,-0.15381483152469402,0.2156774501750172,0.2253412437245623,1.0,0.21761258080776827,0.18896058209925362,-0.15495223447198947,0.36264404609185674,-0.004877299742160254,-0.023390009565164842,-0.11648105060090364,-0.032688710171967374
litecoin,-0.0719060800899264,-0.11875767619784627,-0.04024750220914176,-0.1381416211637233,-0.11691034754007276,-0.09904735126361441,-0.19908326484529887,0.21761258080776827,1.0,0.326139766010096,-0.30373142731479263,0.38756546513938106,-0.23284511084493975,-0.13874957230919843,0.3345770539630455,0.08575470011156971
bitcoin,0.11277904493216162,-0.19154286996477118,0.30375148522513534,-0.021842764247854005,-0.2563727234431666,-0.08354524031655729,0.16132871478752234,0.18896058209925362,0.326139766010096,1.0,-0.20052354709677406,0.052441018735519866,0.24784184914232327,0.013431399139040437,-0.041348696786937846,0.1795740115573904
tron,-0.41974012025218616,-0.20316406633171216,0.03489119005082316,-0.1984933872084368,0.11811178949496708,0.09146362643639079,0.09535313890861585,-0.15495223447198947,-0.30373142731479263,-0.20052354709677406,1.0,-0.08304640911884596,-0.10894516589447713,0.0034009296724167694,0.06354111324744247,-0.13925184542124355
solana,0.19843488124037437,0.04835851993135732,-0.037606808214622776,0.1589209620357278,-0.2342072560281775,-0.3308931689923513,-0.06543699493296709,0.36264404609185674,0.38756546513938106,0.052441018735519866,-0.08304640911884596,1.0,-0.014377817734656016,0.05303476988091953,-0.019784187875641013,0.0229599241189139
avalanche,-0.015210625602305483,-0.19400654535780648,-0.010913885575773689,0.2861580020685077,-0.12508444659277046,-0.08200932661521149,0.412397573110042,-0.004877299742160254,-0.23284511084493975,0.24784184914232327,-0.10894516589447713,-0.014377817734656016,1.0,0.3102842573945213,-0.3905616311652476,0.16581637075659175
crypto_choice_avg,-0.13605261191311202,0.02554322841513651,-0.4588933244036742,0.15859503168021016,-0.19119399662456932,-0.08291637247763183,-0.07239819763877704,-0.023390009565164842,-0.13874957230919843,0.013431399139040437,0.0034009296724167694,0.05303476988091953,0.3102842573945213,1.0,0.07073040653273667,0.0747163198729397
inflation_headlinese_avg,-0.2992636920422709,0.18749919567360462,0.07420028279020836,-0.184242417009632,-0.011077321505348979,0.0555851213375308,-0.13723472937400277,-0.11648105060090364,0.3345770539630455,-0.041348696786937846,0.06354111324744247,-0.019784187875641013,-0.3905616311652476,0.07073040653273667,1.0,0.18152488881136203
energy_consumption_avg,-0.12601346744950612,-0.18617088144144003,0.24802551901698028,-0.13941224350370973,-0.2687684419092182,0.26835660671083483,0.025486113960968507,-0.032688710171967374,0.08575470011156971,0.1795740115573904,-0.13925184542124355,0.0229599241189139,0.16581637075659175,0.0747163198729397,0.18152488881136203,1.0
